site_type,island,site_code,gmax_ratio,total_stomatal_density_mm2,leaf_thickness_um
coastal,hawaii,knhp,0.23231152710198297,505.29553656218184,189.6040384918757
coastal,hawaii,pkpp,0.19464460731411992,373.47974595734263,194.19981857900655
coastal,oahu,khkp,0.211048582238541,501.228944434822,304.23531840184353
coastal,oahu,klkb,0.28773350234596157,509.29968581618493,399.5404208173311
coastal,oahu,knpn,0.28948431189534807,490.4731594991177,295.8151876102285
coastal,oahu,mkpb,0.08369413713145643,431.4646441769666,249.70505167311268
montane,hawaii,hlan,0.03811748885417841,282.819384151167,149.4078307171065
montane,hawaii,kgma,0.06520428547187705,283.3111217788516,183.7233569449975
montane,hawaii,ktrs,0.047842861240259486,328.1294941306759,138.89279739849601
montane,oahu,hwlr,0.295649884702677,444.811808356977,205.97378955899998
montane,oahu,mmrd,0.36395475986814535,437.0845027790763,162.02495544885426
montane,oahu,nnpl,0.1699648286879279,223.10838650375223,153.74138328918724
montane,oahu,whlr,0.32893718794238846,497.0062451240702,193.33464112893793
